09/22/2025-18:30:36.271449  [**] [1:2002677:14] ET SCAN Nikto Web App Scan in Progress [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 192.42.1.174:46906 -> 172.17.100.121:80
09/22/2025-18:30:36.272984  [**] [1:2101071:8] GPL WEB_SERVER .htpasswd access [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 192.42.1.174:46906 -> 172.17.100.121:80
09/22/2025-18:30:36.310916  [**] [1:2101242:14] GPL EXPLOIT ISAPI .ida access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 192.42.1.174:46906 -> 172.17.100.121:80
09/22/2025-18:30:36.339861  [**] [1:2101245:13] GPL EXPLOIT ISAPI .idq access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 192.42.1.174:46906 -> 172.17.100.121:80
09/22/2025-18:30:36.343303  [**] [1:2101129:9] GPL WEB_SERVER .htaccess access [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:46906 -> 172.17.100.121:80
09/22/2025-18:30:36.361088  [**] [1:2101129:9] GPL WEB_SERVER .htaccess access [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:46906 -> 172.17.100.121:80
09/22/2025-18:30:36.534781  [**] [1:2100987:17] GPL EXPLOIT .htr access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 192.42.1.174:46920 -> 172.17.100.121:80
09/22/2025-18:30:36.560415  [**] [1:2101201:11] GPL WEB_SERVER 403 Forbidden [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.17.100.121:80 -> 192.42.1.174:46936
09/22/2025-18:30:41.648811  [**] [1:2101145:11] GPL WEB_SERVER /~root access [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33118 -> 172.17.100.121:80
09/22/2025-18:30:41.656757  [**] [1:2221028:1] SURICATA HTTP Host header invalid [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.42.1.174:33118 -> 172.17.100.121:80
09/22/2025-18:30:41.659070  [**] [1:2010766:12] ET POLICY Proxy TRACE Request - inbound [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.42.1.174:33134 -> 172.17.100.121:80
09/22/2025-18:30:41.661416  [**] [1:2010766:12] ET POLICY Proxy TRACE Request - inbound [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.42.1.174:33134 -> 172.17.100.121:80
09/22/2025-18:30:41.749179  [**] [1:2101145:11] GPL WEB_SERVER /~root access [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33134 -> 172.17.100.121:80
09/22/2025-18:30:41.805877  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33146 -> 172.17.100.121:80
09/22/2025-18:30:41.862830  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33146 -> 172.17.100.121:80
09/22/2025-18:30:41.900878  [**] [1:2100993:14] GPL WEB_SERVER iisadmin access [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 192.42.1.174:33146 -> 172.17.100.121:80
09/22/2025-18:30:41.900878  [**] [1:2100987:17] GPL EXPLOIT .htr access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 192.42.1.174:33146 -> 172.17.100.121:80
09/22/2025-18:30:41.902974  [**] [1:2100993:14] GPL WEB_SERVER iisadmin access [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 192.42.1.174:33146 -> 172.17.100.121:80
09/22/2025-18:30:41.967735  [**] [1:2101256:11] GPL EXPLOIT CodeRed v2 root.exe access [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 192.42.1.174:33146 -> 172.17.100.121:80
09/22/2025-18:30:41.974115  [**] [1:2101245:13] GPL EXPLOIT ISAPI .idq access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 192.42.1.174:33146 -> 172.17.100.121:80
09/22/2025-18:30:41.976396  [**] [1:2101245:13] GPL EXPLOIT ISAPI .idq access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 192.42.1.174:33146 -> 172.17.100.121:80
09/22/2025-18:30:41.978430  [**] [1:2101245:13] GPL EXPLOIT ISAPI .idq access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 192.42.1.174:33146 -> 172.17.100.121:80
